page_id,page_name,url,architecture_status,copy_version,copy_file,copy_status,approved_claim_ids,blocked_claims_or_decisions,required_reviewer,publication_decision
PAGE-330,Critical Infrastructure Maintenance,/maintenance/critical-infrastructure-maintenance/,Launch conditional,COPY-001B-v1.0,Evolve_Copy_02_Power_Maintain_2026-09-07.md,Editorial draft,"CLM-013;CLM-014","AD-006",Service & Maintenance owner,DO NOT PUBLISH UNTIL SCOPE APPROVAL
PAGE-340,Facility Assessments & Support,/maintenance/facility-assessments/,Phase 2 gated,,Evolve_Copy_02_Power_Maintain_2026-09-07.md,No publishable copy,,"AD-006",Service & Maintenance owner,DO NOT PUBLISH
PAGE-350,Emergency Service,/maintenance/emergency-service/,Gated,,Evolve_Copy_02_Power_Maintain_2026-09-07.md,No publishable copy,,"AD-006;CLM-030;CLM-031",Service & Maintenance owner,DO NOT PUBLISH
PAGE-400,eLERT,/elert/,Gated,,Evolve_Copy_02_Power_Maintain_2026-09-07.md,No publishable copy,"CLM-013;CLM-014","AD-003;CLM-018;CLM-032",eLERT product/service owner,DO NOT PUBLISH
PAGE-500,Data Center Markets,/data-center-markets/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Stakeholder review,"CLM-001;CLM-002;CLM-003;CLM-004;CLM-005;CLM-006;CLM-007","AD-005;CLM-036",Commercial leadership,READY AFTER APPROVAL
PAGE-510,Colocation Data Centers,/data-center-markets/colocation/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-006;CLM-007;CLM-013;CLM-014","CLM-025;CLM-026",Colocation/service owner,READY AFTER APPROVAL
PAGE-520,Enterprise Data Centers,/data-center-markets/enterprise/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-013;CLM-014","AD-003;AD-006",Enterprise/service owner,READY AFTER APPROVAL
PAGE-530,Edge & Distributed Data Centers,/data-center-markets/edge-distributed/,Phase 2 gated,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"AD-003;Edge capability approval",Commercial/product owner,DO NOT PUBLISH
PAGE-540,Healthcare Data Centers,/data-center-markets/healthcare/,Gated,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"AD-005;CLM-036",Commercial leadership,DO NOT PUBLISH
PAGE-550,Financial Services Data Centers,/data-center-markets/financial-services/,Gated,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"AD-005;CLM-036",Commercial leadership,DO NOT PUBLISH
PAGE-560,Telecommunications Data Centers,/data-center-markets/telecommunications/,Gated,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"AD-005",Commercial leadership,DO NOT PUBLISH
PAGE-570,Government & Education Data Centers,/data-center-markets/government-education/,Gated,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"AD-005;CLM-036",Commercial leadership,DO NOT PUBLISH
PAGE-580,Energy & Industrial Data Centers,/data-center-markets/energy-industrial/,Gated,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"AD-005",Commercial leadership,DO NOT PUBLISH
PAGE-600,Insights,/insights/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004",,Marketing/editorial owner,READY AFTER APPROVAL
PAGE-611,Data Center Site Selection & Power Planning,/insights/data-center-site-selection-power-planning/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical review,"CLM-003;CLM-004;CLM-014","RQ-002",Planning/technical reviewer,READY AFTER REVIEW
PAGE-612,Modular vs. Traditional Data Center Delivery,/insights/modular-vs-traditional-data-center-delivery/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical review,"CLM-003;CLM-004;CLM-011;CLM-012;CLM-013;CLM-014",,Modular/technical reviewer,READY AFTER REVIEW
PAGE-613,AI Data Center Infrastructure Planning,/insights/ai-data-center-infrastructure-planning/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical review,"CLM-003;CLM-004;CLM-005;CLM-013;CLM-014","CLM-035",AI/technical reviewer,READY AFTER REVIEW
PAGE-614,Hyperscale Campus Phasing,/insights/hyperscale-campus-phasing/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical review,"CLM-003;CLM-004;CLM-005;CLM-013;CLM-014",,Hyperscale/program reviewer,READY AFTER REVIEW
PAGE-615,Data Center Commissioning Checklist,/insights/data-center-commissioning-checklist/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical review,"CLM-013;CLM-014","RQ-004",Commissioning reviewer,READY AFTER REVIEW
PAGE-616,Data Center Preventive Maintenance Guide,/insights/data-center-preventive-maintenance/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical review,"CLM-013;CLM-014","CLM-015;CLM-016;CLM-017;CLM-022;CLM-029;CLM-031",Maintenance reviewer,READY AFTER REVIEW
PAGE-617,Data Center Monitoring vs. DCIM,/insights/data-center-monitoring-vs-dcim/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical review,"CLM-013;CLM-014","AD-003;CLM-018;CLM-032",Monitoring reviewer,READY AS GUIDE; ELERT LINKS HELD
PAGE-618,Responsible Data Center Development,/insights/responsible-data-center-development/,Phase 2,COPY-001D-v1.0,Evolve_Copy_04_Resources_FAQs_2026-09-07.md,Technical/legal review,"CLM-003;CLM-004;CLM-014","CLM-034;CLM-036",Planning/legal reviewer,READY AFTER REVIEW
PAGE-700,About Evolve,/about/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Stakeholder review,"CLM-001;CLM-002;CLM-003;CLM-004;CLM-006;CLM-007;CLM-008;CLM-009;CLM-010;CLM-011;CLM-013;CLM-014;CLM-039","CLM-024;CLM-025;CLM-026;CLM-033",Executive/marketing,READY AFTER APPROVAL
PAGE-710,Careers,/careers/,Conditional launch,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"Recruiting process; EEO language",HR/legal,DO NOT PUBLISH
PAGE-720,Contact,/contact/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Stakeholder review,CLM-039,CLM-031,Operations/marketing,READY AFTER APPROVAL AND CONTACT RECONFIRMATION
PAGE-730,Support,/support/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Implementation review,CLM-013,CLM-031,Support/security owner,READY AFTER SECURE ROUTING APPROVAL
PAGE-740,Privacy Policy,/privacy-policy/,Launch legal,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"Actual data practices; legal review",Legal/privacy owner,DO NOT PUBLISH GENERIC TEMPLATE
PAGE-750,Accessibility,/accessibility/,Launch legal,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"Approved commitment and contact route",Accessibility/legal owner,DO NOT PUBLISH UNTIL APPROVED
PAGE-760,Terms of Use,/terms/,Launch legal,,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,No publishable copy,,"Legal entity and terms",Legal,DO NOT PUBLISH GENERIC TEMPLATE
PAGE-770,HTML Sitemap,/sitemap/,Launch,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Implementation review,"ARCH-001 published page set",,Web administrator,READY; GENERATE FROM PUBLISHED STATUS
PAGE-800,Start a Project,/start-a-project/,Utility noindex,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Implementation review,"CLM-003;CLM-004;CLM-005;CLM-013;CLM-014",,Marketing/CRM/privacy owner,READY AFTER FORM APPROVAL
PAGE-810,Request Service,/request-service/,Utility noindex,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Implementation review,"CLM-013;CLM-014",CLM-031,Service/CRM/privacy owner,READY AFTER FORM APPROVAL
PAGE-820,Request an eLERT Assessment,/elert/request-assessment/,Utility gated,,Evolve_Copy_02_Power_Maintain_2026-09-07.md,No publishable copy,,AD-003,eLERT owner,DO NOT PUBLISH
PAGE-830,Form Confirmation,/thank-you/,Utility noindex,COPY-001C-v1.0,Evolve_Copy_03_Markets_Company_Conversion_2026-09-07.md,Implementation review,,"No contract/schedule/response promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW
PAGE-900,Solutions,/solutions/,Launch (added 2026-09-08),COPY-002A-v0.1,Evolve_Copy_05_Solutions_2026-09-08.md,Approved 2026-09-08,CLM-001;CLM-002;CLM-003;CLM-004;CLM-006;CLM-007;CLM-011,,Commercial leadership,READY (APPROVED 2026-09-08 by M. Atnipp, FDI Creative)
PAGE-910,AI / HPC Data Centers,/solutions/ai-hpc-data-centers/,Launch (added 2026-09-08),COPY-002A-v0.1,Evolve_Copy_05_Solutions_2026-09-08.md,Approved 2026-09-08,CLM-001;CLM-003;CLM-004;CLM-005;CLM-006;CLM-007;CLM-011;CLM-013,CLM-035,AI/design owner,READY (APPROVED 2026-09-08 by M. Atnipp, FDI Creative)
PAGE-920,Edge Data Centers,/solutions/edge-data-centers/,Launch (added 2026-09-08),COPY-002A-v0.1,Evolve_Copy_05_Solutions_2026-09-08.md,Approved 2026-09-08,CLM-003;CLM-004;CLM-011;CLM-012;CLM-013;CLM-014,AD-003;CLM-032;Edge capability approval,Commercial/product owner,READY (APPROVED 2026-09-08 by M. Atnipp, FDI Creative)
PAGE-930,Modular Data Centers (solution),/solutions/modular-data-centers/,Launch (added 2026-09-08),COPY-002A-v0.1,Evolve_Copy_05_Solutions_2026-09-08.md,Approved 2026-09-08,CLM-003;CLM-004;CLM-006;CLM-007;CLM-011;CLM-012;CLM-013;CLM-014,,Modular owner,READY (APPROVED 2026-09-08 by M. Atnipp, FDI Creative)
PAGE-940,Colocation Data Centers (solution),/solutions/colocation-data-centers/,Launch (added 2026-09-08),COPY-002A-v0.1,Evolve_Copy_05_Solutions_2026-09-08.md,Approved 2026-09-08,CLM-003;CLM-004;CLM-013;CLM-014,CLM-025,Colocation/service owner,READY (APPROVED 2026-09-08 by M. Atnipp, FDI Creative)
PAGE-950,Greenfield New Builds,/solutions/greenfield-new-builds/,Launch (added 2026-09-08),COPY-002A-v0.1,Evolve_Copy_05_Solutions_2026-09-08.md,Approved 2026-09-08,CLM-003;CLM-004;CLM-006;CLM-008;CLM-010;CLM-011;CLM-013;CLM-014,RQ-002,Planning/service owner,READY (APPROVED 2026-09-08 by M. Atnipp, FDI Creative)
PAGE-960,Brownfield & Retrofit,/solutions/brownfield-retrofit/,Launch (added 2026-09-08),COPY-002A-v0.1,Evolve_Copy_05_Solutions_2026-09-08.md,Approved 2026-09-08,CLM-003;CLM-004;CLM-013;CLM-014,CLM-029;CLM-031,Construction/operations owner,READY (APPROVED 2026-09-08 by M. Atnipp, FDI Creative)
PAGE-710,Leadership,/about/leadership/,Launch (added 2026-09-08),COPY-002B-v0.1,Evolve_Copy_06_Leadership_2026-09-08.md,New draft,CLM-001;CLM-002;CLM-003;CLM-004;CLM-008;CLM-011;CLM-013;CLM-039,"AD-006 (eLERT title wording);Krista Bouquet title;headshot wardrobe standard",Evolve marketing/executive,READY AFTER APPROVAL (NEW DRAFT 2026-09-08)
PAGE-1000,Free Guides,/resources/,Launch (added 2026-09-08),COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,CLM-001;CLM-003;CLM-004,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1010,Site Selection & Power Planning Checklist,/resources/site-selection-power-planning-checklist/,Launch (added 2026-09-08),COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,CLM-003;CLM-004;CLM-014,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1011,Site Selection Checklist Delivered,/resources/site-selection-power-planning-checklist/thank-you/,Utility noindex,COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1020,Modular vs. Traditional Delivery Guide,/resources/modular-vs-traditional-delivery-guide/,Launch (added 2026-09-08),COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,CLM-011;CLM-012,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1021,Modular Guide Delivered,/resources/modular-vs-traditional-delivery-guide/thank-you/,Utility noindex,COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1030,AI Data Center Planning Brief,/resources/ai-data-center-planning-brief/,Launch (added 2026-09-08),COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,CLM-003;CLM-004;CLM-005,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1031,AI Brief Delivered,/resources/ai-data-center-planning-brief/thank-you/,Utility noindex,COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1040,Commissioning Checklist,/resources/commissioning-checklist/,Launch (added 2026-09-08),COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,CLM-013;CLM-014,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1041,Commissioning Checklist Delivered,/resources/commissioning-checklist/thank-you/,Utility noindex,COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1050,Preventive Maintenance Program Guide,/resources/preventive-maintenance-program-guide/,Launch (added 2026-09-08),COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,CLM-013;CLM-014,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
PAGE-1051,Maintenance Guide Delivered,/resources/preventive-maintenance-program-guide/thank-you/,Utility noindex,COPY-002C-v0.1,Evolve_Copy_07_Lead_Magnets_2026-09-08.md,New draft,,"No response, schedule or pricing promise",Marketing/CRM owner,READY AFTER IMPLEMENTATION REVIEW (FUNNEL 2026-09-08)
